t,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73
0,64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,0.0
1,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,0.0
2,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,0.0
3,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,0.0
4,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,0.0
5,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,0.0
6,70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,0.0
7,82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,0.0
8,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
9,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,0.0
